text,label
Fiturnya sangat rusak tidak recommended.,negatif
Kualitasnya cukup jelek tidak recommended.,negatif
Produk tersebut sangat ramah sekali!,positif
Ini adalah plastik.,netral
Lokasinya ada di nasi dan ayam.,netral
Produk tersebut benar-benar cepat recommend banget.,positif
Bahannya terbuat dari nasi dan ayam.,netral
Pengirimannya sungguh mengecewakan tolong perbaiki.,negatif
Warna produk ini merah dan biru.,netral
Saya membeli nasi dan ayam.,netral
Menu terdiri dari kemarin sore.,netral
Ukurannya adalah nasi dan ayam.,netral
Pelayanan di sini agak rusak menyesal beli.,negatif
Menu terdiri dari versi terbaru.,netral
Ini adalah versi terbaru.,netral
Aplikasi ini sungguh cepat mantap.,positif
Harganya sekitar kemarin sore.,netral
Harganya terlalu memuaskan sekali!,positif
Hotelnya benar-benar lambat sangat disayangkan.,negatif
Aplikasi ini terlalu mahal bikin emosi.,negatif
Harganya sungguh mengecewakan menyesal beli.,negatif
Fiturnya sungguh buruk kapok.,negatif
Harganya sekitar nasi dan ayam.,netral
Ini adalah 8 pagi.,netral
Menu terdiri dari versi terbaru.,netral
Pelayanan di sini agak rapi terbaik.,positif
Produk tersebut lumayan buruk sangat disayangkan.,negatif
Mereka buka jam pusat kota.,netral
Hotelnya lumayan mahal buang-buang uang.,negatif
Bahannya terbuat dari versi terbaru.,netral
Produk tersebut terlalu jelek buang-buang uang.,negatif
Saya membeli 50 ribu rupiah.,netral
Produk tersebut sangat cepat dan saya suka.,positif
Makanan ini terlalu efisien recommend banget.,positif
Bahannya terbuat dari hari senin.,netral
Aplikasi ini lumayan berantakan parah.,negatif
Hotelnya sangat memuaskan dan saya suka.,positif
Desainnya sangat efisien dan saya suka.,positif
Pengirimannya lumayan ramah sekali!,positif
Desainnya sangat rapi bikin betah.,positif
Pengirimannya sangat tidak enak tolong perbaiki.,negatif
Mereka buka jam merah dan biru.,netral
Kualitasnya sungguh ramah terbaik.,positif
Produk tersebut cukup rapi top markotop.,positif
Desainnya cukup kasar bikin emosi.,negatif
Warna produk ini plastik.,netral
Ini adalah plastik.,netral
Pelayanan di sini terlalu efisien bikin betah.,positif
Harganya sungguh membantu mantap.,positif
Aplikasi ini lumayan jelek tidak recommended.,negatif
Ini adalah nasi dan ayam.,netral
Mereka buka jam nasi dan ayam.,netral
Ukurannya adalah nasi dan ayam.,netral
Warna produk ini pusat kota.,netral
Harganya terlalu efisien recommend banget.,positif
Fiturnya terlalu mengecewakan menyesal beli.,negatif
Pelayanan di sini sungguh keren mantap.,positif
Hotelnya sangat membantu mantap.,positif
Menu terdiri dari hari senin.,netral
Harganya sekitar 8 pagi.,netral
Desainnya lumayan ribet buang-buang uang.,negatif
Aplikasi ini cukup tidak enak bikin emosi.,negatif
Makanan ini agak jelek tolong perbaiki.,negatif
Makanan ini cukup mengecewakan kapok.,negatif
Harganya sungguh membantu recommend banget.,positif
Aplikasi ini benar-benar ribet parah.,negatif
Produk tersebut terlalu jelek bikin emosi.,negatif
Menu terdiri dari 50 ribu rupiah.,netral
Desainnya lumayan mahal parah.,negatif
Makanan ini sangat berantakan tolong perbaiki.,negatif
Harganya cukup jelek menyesal beli.,negatif
Produk tersebut lumayan luar biasa terbaik.,positif
Bahannya terbuat dari hari senin.,netral
Harganya sekitar merah dan biru.,netral
Makanan ini cukup mengecewakan buang-buang uang.,negatif
Aplikasi ini agak mengecewakan parah.,negatif
Fiturnya agak ribet sangat disayangkan.,negatif
Desainnya terlalu ribet tolong perbaiki.,negatif
Harganya lumayan luar biasa dan saya suka.,positif
Pelayanan di sini sangat jelek tolong perbaiki.,negatif
Produk tersebut lumayan rusak bikin emosi.,negatif
Bahannya terbuat dari 8 pagi.,netral
Harganya sangat mengecewakan tolong perbaiki.,negatif
Pelayanan di sini benar-benar luar biasa recommend banget.,positif
Pelayanan di sini sangat membantu bikin betah.,positif
Desainnya sangat mengecewakan tidak recommended.,negatif
Saya membeli hari senin.,netral
Fiturnya terlalu ribet sangat disayangkan.,negatif
Aplikasi ini terlalu ribet bikin emosi.,negatif
Pengirimannya benar-benar tidak enak tolong perbaiki.,negatif
Aplikasi ini cukup keren top markotop.,positif
Produk tersebut sangat cepat dan saya suka.,positif
Desainnya sangat lezat top markotop.,positif
Lokasinya ada di hari senin.,netral
Fiturnya lumayan ribet menyesal beli.,negatif
Harganya sungguh ramah terbaik.,positif
Aplikasi ini agak rapi dan saya suka.,positif
Mereka buka jam 50 ribu rupiah.,netral
Pengirimannya benar-benar bagus banget.,positif
Produk tersebut sangat luar biasa terbaik.,positif
Pelayanan di sini terlalu ramah top markotop.,positif
Ini adalah merah dan biru.,netral
Makanan ini terlalu mengecewakan tolong perbaiki.,negatif
Pelayanan di sini sangat membantu sekali!,positif
Fiturnya lumayan bagus top markotop.,positif
Mereka buka jam kemarin sore.,netral
Pelayanan di sini agak keren bikin betah.,positif
Harganya lumayan jelek bikin emosi.,negatif
Desainnya benar-benar rusak kapok.,negatif
Harganya cukup efisien sekali!,positif
Aplikasi ini terlalu tidak enak tolong perbaiki.,negatif
Hotelnya sungguh luar biasa recommend banget.,positif
Aplikasi ini lumayan lezat sekali!,positif
Harganya sekitar hari senin.,netral
Aplikasi ini lumayan ramah sekali!,positif
Fiturnya terlalu tidak enak buang-buang uang.,negatif
Pelayanan di sini sungguh keren dan saya suka.,positif
Ini adalah hari senin.,netral
Aplikasi ini cukup membantu sekali!,positif
Desainnya lumayan jelek kapok.,negatif
Kualitasnya terlalu luar biasa recommend banget.,positif
Kualitasnya agak ramah banget.,positif
Kualitasnya lumayan buruk bikin emosi.,negatif
Menu terdiri dari 50 ribu rupiah.,netral
Aplikasi ini cukup memuaskan banget.,positif
Pengirimannya lumayan efisien dan saya suka.,positif
Pengirimannya benar-benar ramah mantap.,positif
Fiturnya agak bagus dan saya suka.,positif
Fiturnya benar-benar efisien bikin betah.,positif
Lokasinya ada di merah dan biru.,netral
Pengirimannya benar-benar buruk tidak recommended.,negatif
Saya membeli kemarin sore.,netral
Produk tersebut cukup berantakan parah.,negatif
Harganya sekitar pusat kota.,netral
Saya membeli hari senin.,netral
Menu terdiri dari merah dan biru.,netral
Makanan ini sungguh lezat top markotop.,positif
Mereka buka jam 50 ribu rupiah.,netral
Harganya benar-benar luar biasa dan saya suka.,positif
Aplikasi ini cukup memuaskan dan saya suka.,positif
Harganya cukup jelek parah.,negatif
Ukurannya adalah versi terbaru.,netral
Ini adalah 50 ribu rupiah.,netral
Mereka buka jam 50 ribu rupiah.,netral
Desainnya benar-benar bagus dan saya suka.,positif
Harganya sekitar hari senin.,netral
Aplikasi ini benar-benar lambat sangat disayangkan.,negatif
Harganya lumayan rusak sangat disayangkan.,negatif
Fiturnya terlalu keren banget.,positif
Desainnya terlalu berantakan menyesal beli.,negatif
Mereka buka jam pusat kota.,netral
Harganya benar-benar berantakan tolong perbaiki.,negatif
Aplikasi ini cukup lambat buang-buang uang.,negatif
Fiturnya terlalu tidak enak buang-buang uang.,negatif
Lokasinya ada di 50 ribu rupiah.,netral
Menu terdiri dari kemarin sore.,netral
Ukurannya adalah plastik.,netral
Fiturnya lumayan kasar tidak recommended.,negatif
Harganya sangat lambat kapok.,negatif
Harganya sekitar nasi dan ayam.,netral
Fiturnya agak ribet kapok.,negatif
Makanan ini benar-benar keren sekali!,positif
Produk tersebut cukup mengecewakan sangat disayangkan.,negatif
Aplikasi ini cukup jelek sangat disayangkan.,negatif
Desainnya benar-benar luar biasa recommend banget.,positif
Saya membeli 50 ribu rupiah.,netral
Saya membeli nasi dan ayam.,netral
Harganya sungguh lambat kapok.,negatif
Warna produk ini pusat kota.,netral
Pelayanan di sini agak rapi dan saya suka.,positif
Warna produk ini hari senin.,netral
Produk tersebut agak bagus recommend banget.,positif
Ini adalah versi terbaru.,netral
Pelayanan di sini sungguh buruk bikin emosi.,negatif
Hotelnya benar-benar berantakan tolong perbaiki.,negatif
Aplikasi ini lumayan berantakan tolong perbaiki.,negatif
Produk tersebut benar-benar berantakan kapok.,negatif
Mereka buka jam kemarin sore.,netral
Hotelnya sangat lambat tolong perbaiki.,negatif
Pelayanan di sini sungguh luar biasa sekali!,positif
Harganya sangat cepat banget.,positif
Produk tersebut cukup mengecewakan tidak recommended.,negatif
Pengirimannya sungguh ribet menyesal beli.,negatif
Mereka buka jam plastik.,netral
Harganya agak efisien mantap.,positif
Hotelnya cukup buruk sangat disayangkan.,negatif
Harganya sekitar merah dan biru.,netral
Makanan ini lumayan membantu sekali!,positif
Hotelnya agak luar biasa bikin betah.,positif
Lokasinya ada di pusat kota.,netral
Mereka buka jam merah dan biru.,netral
Pengirimannya sangat jelek sangat disayangkan.,negatif
Kualitasnya benar-benar cepat recommend banget.,positif
Produk tersebut terlalu lambat parah.,negatif
Harganya sekitar kemarin sore.,netral
Aplikasi ini agak ramah dan saya suka.,positif
Aplikasi ini sungguh mengecewakan bikin emosi.,negatif
Pelayanan di sini benar-benar ramah terbaik.,positif
Saya membeli XL.,netral
Lokasinya ada di 50 ribu rupiah.,netral
Fiturnya terlalu berantakan tolong perbaiki.,negatif
Menu terdiri dari XL.,netral
Fiturnya terlalu bagus sekali!,positif
Desainnya terlalu buruk menyesal beli.,negatif
Ini adalah 50 ribu rupiah.,netral
Bahannya terbuat dari kemarin sore.,netral
Harganya sekitar 50 ribu rupiah.,netral
Desainnya lumayan mahal buang-buang uang.,negatif
Kualitasnya sungguh rapi mantap.,positif
Pengirimannya benar-benar ramah banget.,positif
Pengirimannya agak luar biasa sekali!,positif
Kualitasnya sungguh mahal parah.,negatif
Ukurannya adalah 8 pagi.,netral
Harganya sungguh efisien mantap.,positif
Fiturnya cukup lambat buang-buang uang.,negatif
Harganya sekitar kemarin sore.,netral
Harganya terlalu lezat dan saya suka.,positif
Aplikasi ini benar-benar mahal sangat disayangkan.,negatif
Aplikasi ini cukup ribet buang-buang uang.,negatif
Mereka buka jam pusat kota.,netral
Ini adalah hari senin.,netral
Menu terdiri dari merah dan biru.,netral
Pelayanan di sini benar-benar tidak enak tidak recommended.,negatif
Makanan ini lumayan efisien bikin betah.,positif
Ini adalah kemarin sore.,netral
Desainnya cukup keren dan saya suka.,positif
Produk tersebut sungguh tidak enak buang-buang uang.,negatif
Menu terdiri dari hari senin.,netral
Kualitasnya sangat luar biasa top markotop.,positif
Bahannya terbuat dari merah dan biru.,netral
Pelayanan di sini cukup keren top markotop.,positif
Pengirimannya lumayan lambat bikin emosi.,negatif
Pengirimannya benar-benar mengecewakan sangat disayangkan.,negatif
Bahannya terbuat dari pusat kota.,netral
Produk tersebut sungguh mengecewakan tidak recommended.,negatif
Aplikasi ini sangat lezat banget.,positif
Hotelnya sangat memuaskan recommend banget.,positif
Warna produk ini nasi dan ayam.,netral
Kualitasnya lumayan jelek menyesal beli.,negatif
Makanan ini lumayan membantu sekali!,positif
Aplikasi ini agak lambat parah.,negatif
Makanan ini terlalu buruk tidak recommended.,negatif
Pengirimannya sungguh ribet menyesal beli.,negatif
Lokasinya ada di 8 pagi.,netral
Mereka buka jam merah dan biru.,netral
Saya membeli kemarin sore.,netral
Pengirimannya benar-benar keren recommend banget.,positif
Lokasinya ada di XL.,netral
Harganya sekitar 50 ribu rupiah.,netral
Ukurannya adalah merah dan biru.,netral
Fiturnya benar-benar kasar tolong perbaiki.,negatif
Saya membeli merah dan biru.,netral
Aplikasi ini agak jelek buang-buang uang.,negatif
Harganya benar-benar rapi banget.,positif
Kualitasnya terlalu mahal tolong perbaiki.,negatif
Saya membeli versi terbaru.,netral
Pesanan datang pada pusat kota.,netral
Makanan ini lumayan keren banget.,positif
Fiturnya lumayan bagus bikin betah.,positif
Kualitasnya agak keren dan saya suka.,positif
Pengirimannya cukup bagus terbaik.,positif
Pengirimannya terlalu ramah mantap.,positif
Desainnya terlalu bagus terbaik.,positif
Produk tersebut sangat lezat top markotop.,positif
Harganya sekitar versi terbaru.,netral
Ukurannya adalah XL.,netral
Makanan ini agak cepat terbaik.,positif
Makanan ini benar-benar membantu recommend banget.,positif
Menu terdiri dari hari senin.,netral
Mereka buka jam hari senin.,netral
Fiturnya agak mengecewakan buang-buang uang.,negatif
Harganya sekitar pusat kota.,netral
Fiturnya sangat kasar tidak recommended.,negatif
Pelayanan di sini benar-benar kasar buang-buang uang.,negatif
Harganya sungguh cepat terbaik.,positif
Kualitasnya terlalu efisien banget.,positif
Produk tersebut lumayan rapi banget.,positif
Produk tersebut agak rapi terbaik.,positif
Pengirimannya lumayan lambat buang-buang uang.,negatif
Hotelnya terlalu kasar menyesal beli.,negatif
Kualitasnya terlalu ramah dan saya suka.,positif
Lokasinya ada di plastik.,netral
Makanan ini benar-benar mahal bikin emosi.,negatif
Aplikasi ini agak membantu sekali!,positif
Kualitasnya benar-benar mengecewakan menyesal beli.,negatif
Hotelnya sangat membantu banget.,positif
Makanan ini agak efisien mantap.,positif
Ukurannya adalah kemarin sore.,netral
Harganya cukup lambat kapok.,negatif
Produk tersebut sungguh rapi top markotop.,positif
Harganya sekitar nasi dan ayam.,netral
Bahannya terbuat dari merah dan biru.,netral
Desainnya sangat cepat bikin betah.,positif
Ini adalah versi terbaru.,netral
Desainnya cukup mahal tolong perbaiki.,negatif
Harganya cukup ramah terbaik.,positif
Makanan ini lumayan cepat terbaik.,positif
Desainnya benar-benar berantakan tidak recommended.,negatif
Desainnya terlalu berantakan tidak recommended.,negatif
Mereka buka jam hari senin.,netral
